,Name,Population,Sq Mi,X,Y,Zip Code,Date,Total Case
1379,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/15/20,122
1380,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/15/20,237
1381,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/15/20,253
1382,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/15/20,177
1383,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/15/20,256
1384,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/15/20,121
1385,UB North Campus (Amherst),1670,0.97,,,14260,7/15/20,0
1386,Akron,9549,59.61,43.0414,-78.4963,14001,7/16/20,39
1387,Alden,12851,46.68,42.894668,-78.4833,14004,7/16/20,69
1388,Angola,10113,28.86,42.6361,-79.02794,14006,7/16/20,29
1389,Basom,1923,41.17,43.0811,-78.4012,14013,7/16/20,0
1390,Boston,3060,23.54,42.6214,-78.7217,14025,7/16/20,11
1391,Bowmansville,910,0.79,42.9441,-78.6867,14026,7/16/20,4
1392,Chaffee,1867,20.9,42.5737,-78.507,14030,7/16/20,2
1393,Clarence,10145,20.83,42.993,-78.607,14031,7/16/20,84
1394,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,7/16/20,45
1395,Colden,2396,19.96,42.6521,-78.6869,14033,7/16/20,3
1396,Collins,1922,26.0,42.49089,-78.8573,14034,7/16/20,1
1397,Cowlesville,1081,17.91,42.8054,-78.4507,14037,7/16/20,1
1398,Depew,25714,9.15,42.89925,-78.70735,14043,7/16/20,110
1399,Derby,6463,12.32,42.69266,-78.9934,14047,7/16/20,19
1400,East Amherst,20690,16.19,43.0442,-78.695,14051,7/16/20,102
1401,East Aurora,17482,62.71,42.775,-78.5753,14052,7/16/20,250
1402,East Concord,1312,29.7,42.5468,-78.5954,14055,7/16/20,1
1403,Eden,7934,48.1,42.652283,-78.89698,14057,7/16/20,32
1404,Elma,9381,26.72,42.8255,-78.62666,14059,7/16/20,45
1405,Getzville,8374,3.8,43.0269,-78.762,14068,7/16/20,188
1406,Glenwood,678,5.42,42.6057,-78.6191,14069,7/16/20,3
1407,Gowanda,7706,44.41,42.44377,-78.90769,14070,7/16/20,14
1408,Grand Island,20809,33.26,43.0119,-78.9559,14072,7/16/20,116
1409,Hamburg,43111,38.97,42.716,-78.82434,14075,7/16/20,252
1410,Holland,4460,50.61,42.6405,-78.5435,14080,7/16/20,20
1411,Irving,3204,40.63,42.4617,-79.027,14081,7/16/20,7
1412,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,7/16/20,28
1413,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,7/16/20,213
1414,Lawtons,1086,22.21,42.5386,-78.9061,14091,7/16/20,3
1415,Marilla,1244,4.86,42.8368,-78.5573,14102,7/16/20,9
1416,North Collins,3482,32.93,42.581,-78.8707,14111,7/16/20,14
1417,Orchard Park,30810,40.39,42.7429,-78.7569,14127,7/16/20,217
1418,Sardinia,139,2.42,42.5276,-78.5045,14134,7/16/20,1
1419,South Wales,2371,23.28,42.69757,-78.5433,14139,7/16/20,4
1420,Springville,7799,73.22,42.5329,-78.7157,14141,7/16/20,44
1421,Strykersville,1405,26.97,42.7296,-78.41938,14145,7/16/20,0
1422,Tonawanda,40850,17.07,42.99298,-78.8812,14150,7/16/20,260
1423,West Falls,2270,13.31,42.7087,-78.6647,14170,7/16/20,6
1424,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,7/16/20,220
1425,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,7/16/20,19
1426,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,7/16/20,22
1427,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,7/16/20,104
1428,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,7/16/20,136
1429,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,7/16/20,440
1430,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,7/16/20,217
1431,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,7/16/20,214
1432,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,7/16/20,95
1433,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,7/16/20,289
1434,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,7/16/20,143
1435,West Side,26700,2.82,42.9166,-78.8919,14213,7/16/20,385
1436,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,7/16/20,161
1437,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,7/16/20,635
1438,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,7/16/20,149
1439,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,7/16/20,198
1440,Lackawana,18590,8.07,42.8155,-78.8112,14218,7/16/20,122
1441,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,7/16/20,62
1442,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,7/16/20,144
1443,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,7/16/20,484
1444,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,7/16/20,65
1445,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/16/20,126
1446,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/16/20,238
1447,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/16/20,253
1448,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/16/20,180
1449,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/16/20,256
1450,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/16/20,125
1451,UB North Campus (Amherst),1670,0.97,,,14260,7/16/20,0
1452,Akron,9549,59.61,43.0414,-78.4963,14001,7/17/20,39
1453,Alden,12851,46.68,42.894668,-78.4833,14004,7/17/20,69
1454,Angola,10113,28.86,42.6361,-79.02794,14006,7/17/20,29
1455,Basom,1923,41.17,43.0811,-78.4012,14013,7/17/20,0
1456,Boston,3060,23.54,42.6214,-78.7217,14025,7/17/20,11
1457,Bowmansville,910,0.79,42.9441,-78.6867,14026,7/17/20,4
1458,Chaffee,1867,20.9,42.5737,-78.507,14030,7/17/20,2
1459,Clarence,10145,20.83,42.993,-78.607,14031,7/17/20,84
1460,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,7/17/20,45
1461,Colden,2396,19.96,42.6521,-78.6869,14033,7/17/20,3
1462,Collins,1922,26.0,42.49089,-78.8573,14034,7/17/20,1
1463,Cowlesville,1081,17.91,42.8054,-78.4507,14037,7/17/20,1
1464,Depew,25714,9.15,42.89925,-78.70735,14043,7/17/20,110
1465,Derby,6463,12.32,42.69266,-78.9934,14047,7/17/20,19
1466,East Amherst,20690,16.19,43.0442,-78.695,14051,7/17/20,102
1467,East Aurora,17482,62.71,42.775,-78.5753,14052,7/17/20,250
1468,East Concord,1312,29.7,42.5468,-78.5954,14055,7/17/20,1
1469,Eden,7934,48.1,42.652283,-78.89698,14057,7/17/20,32
1470,Elma,9381,26.72,42.8255,-78.62666,14059,7/17/20,45
1471,Getzville,8374,3.8,43.0269,-78.762,14068,7/17/20,188
1472,Glenwood,678,5.42,42.6057,-78.6191,14069,7/17/20,3
1473,Gowanda,7706,44.41,42.44377,-78.90769,14070,7/17/20,14
1474,Grand Island,20809,33.26,43.0119,-78.9559,14072,7/17/20,116
1475,Hamburg,43111,38.97,42.716,-78.82434,14075,7/17/20,252
1476,Holland,4460,50.61,42.6405,-78.5435,14080,7/17/20,20
1477,Irving,3204,40.63,42.4617,-79.027,14081,7/17/20,7
1478,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,7/17/20,28
1479,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,7/17/20,213
1480,Lawtons,1086,22.21,42.5386,-78.9061,14091,7/17/20,3
1481,Marilla,1244,4.86,42.8368,-78.5573,14102,7/17/20,9
1482,North Collins,3482,32.93,42.581,-78.8707,14111,7/17/20,14
1483,Orchard Park,30810,40.39,42.7429,-78.7569,14127,7/17/20,217
1484,Sardinia,139,2.42,42.5276,-78.5045,14134,7/17/20,1
1485,South Wales,2371,23.28,42.69757,-78.5433,14139,7/17/20,4
1486,Springville,7799,73.22,42.5329,-78.7157,14141,7/17/20,44
1487,Strykersville,1405,26.97,42.7296,-78.41938,14145,7/17/20,0
1488,Tonawanda,40850,17.07,42.99298,-78.8812,14150,7/17/20,260
1489,West Falls,2270,13.31,42.7087,-78.6647,14170,7/17/20,6
1490,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,7/17/20,220
1491,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,7/17/20,19
1492,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,7/17/20,22
1493,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,7/17/20,104
1494,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,7/17/20,136
1495,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,7/17/20,440
1496,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,7/17/20,217
1497,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,7/17/20,214
1498,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,7/17/20,95
1499,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,7/17/20,289
1500,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,7/17/20,143
1501,West Side,26700,2.82,42.9166,-78.8919,14213,7/17/20,385
1502,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,7/17/20,161
1503,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,7/17/20,635
1504,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,7/17/20,149
1505,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,7/17/20,198
1506,Lackawana,18590,8.07,42.8155,-78.8112,14218,7/17/20,122
1507,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,7/17/20,62
1508,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,7/17/20,144
1509,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,7/17/20,484
1510,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,7/17/20,65
1511,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/17/20,126
1512,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/17/20,238
1513,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/17/20,253
1514,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/17/20,180
1515,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/17/20,256
1516,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/17/20,125
1517,UB North Campus (Amherst),1670,0.97,,,14260,7/17/20,0
1518,Akron,9549,59.61,43.0414,-78.4963,14001,7/18/20,39
1519,Alden,12851,46.68,42.894668,-78.4833,14004,7/18/20,69
1520,Angola,10113,28.86,42.6361,-79.02794,14006,7/18/20,29
1521,Basom,1923,41.17,43.0811,-78.4012,14013,7/18/20,0
1522,Boston,3060,23.54,42.6214,-78.7217,14025,7/18/20,11
1523,Bowmansville,910,0.79,42.9441,-78.6867,14026,7/18/20,4
1524,Chaffee,1867,20.9,42.5737,-78.507,14030,7/18/20,2
1525,Clarence,10145,20.83,42.993,-78.607,14031,7/18/20,84
1526,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,7/18/20,47
1527,Colden,2396,19.96,42.6521,-78.6869,14033,7/18/20,3
1528,Collins,1922,26.0,42.49089,-78.8573,14034,7/18/20,1
1529,Cowlesville,1081,17.91,42.8054,-78.4507,14037,7/18/20,1
1530,Depew,25714,9.15,42.89925,-78.70735,14043,7/18/20,110
1531,Derby,6463,12.32,42.69266,-78.9934,14047,7/18/20,19
1532,East Amherst,20690,16.19,43.0442,-78.695,14051,7/18/20,103
1533,East Aurora,17482,62.71,42.775,-78.5753,14052,7/18/20,252
1534,East Concord,1312,29.7,42.5468,-78.5954,14055,7/18/20,1
1535,Eden,7934,48.1,42.652283,-78.89698,14057,7/18/20,34
1536,Elma,9381,26.72,42.8255,-78.62666,14059,7/18/20,47
1537,Getzville,8374,3.8,43.0269,-78.762,14068,7/18/20,188
1538,Glenwood,678,5.42,42.6057,-78.6191,14069,7/18/20,3
1539,Gowanda,7706,44.41,42.44377,-78.90769,14070,7/18/20,14
1540,Grand Island,20809,33.26,43.0119,-78.9559,14072,7/18/20,117
1541,Hamburg,43111,38.97,42.716,-78.82434,14075,7/18/20,256
1542,Holland,4460,50.61,42.6405,-78.5435,14080,7/18/20,20
1543,Irving,3204,40.63,42.4617,-79.027,14081,7/18/20,7
1544,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,7/18/20,31
1545,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,7/18/20,215
1546,Lawtons,1086,22.21,42.5386,-78.9061,14091,7/18/20,3
1547,Marilla,1244,4.86,42.8368,-78.5573,14102,7/18/20,9
1548,North Collins,3482,32.93,42.581,-78.8707,14111,7/18/20,14
1549,Orchard Park,30810,40.39,42.7429,-78.7569,14127,7/18/20,219
1550,Sardinia,139,2.42,42.5276,-78.5045,14134,7/18/20,1
1551,South Wales,2371,23.28,42.69757,-78.5433,14139,7/18/20,4
1552,Springville,7799,73.22,42.5329,-78.7157,14141,7/18/20,45
1553,Strykersville,1405,26.97,42.7296,-78.41938,14145,7/18/20,0
1554,Tonawanda,40850,17.07,42.99298,-78.8812,14150,7/18/20,261
1555,West Falls,2270,13.31,42.7087,-78.6647,14170,7/18/20,6
1556,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,7/18/20,220
1557,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,7/18/20,19
1558,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,7/18/20,24
1559,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,7/18/20,106
1560,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,7/18/20,142
1561,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,7/18/20,444
1562,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,7/18/20,218
1563,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,7/18/20,216
1564,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,7/18/20,96
1565,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,7/18/20,290
1566,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,7/18/20,144
1567,West Side,26700,2.82,42.9166,-78.8919,14213,7/18/20,389
1568,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,7/18/20,162
1569,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,7/18/20,647
1570,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,7/18/20,153
1571,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,7/18/20,200
1572,Lackawana,18590,8.07,42.8155,-78.8112,14218,7/18/20,126
1573,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,7/18/20,63
1574,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,7/18/20,146
1575,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,7/18/20,488
1576,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,7/18/20,65
1577,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/18/20,126
1578,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/18/20,242
1579,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/18/20,254
1580,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/18/20,183
1581,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/18/20,256
1582,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/18/20,126
1583,UB North Campus (Amherst),1670,0.97,,,14260,7/18/20,0
1584,Akron,9549,59.61,43.0414,-78.4963,14001,7/19/20,39
1585,Alden,12851,46.68,42.894668,-78.4833,14004,7/19/20,69
1586,Angola,10113,28.86,42.6361,-79.02794,14006,7/19/20,29
1587,Basom,1923,41.17,43.0811,-78.4012,14013,7/19/20,0
1588,Boston,3060,23.54,42.6214,-78.7217,14025,7/19/20,11
1589,Bowmansville,910,0.79,42.9441,-78.6867,14026,7/19/20,4
1590,Chaffee,1867,20.9,42.5737,-78.507,14030,7/19/20,2
1591,Clarence,10145,20.83,42.993,-78.607,14031,7/19/20,84
1592,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,7/19/20,47
1593,Colden,2396,19.96,42.6521,-78.6869,14033,7/19/20,3
1594,Collins,1922,26.0,42.49089,-78.8573,14034,7/19/20,1
1595,Cowlesville,1081,17.91,42.8054,-78.4507,14037,7/19/20,1
1596,Depew,25714,9.15,42.89925,-78.70735,14043,7/19/20,110
1597,Derby,6463,12.32,42.69266,-78.9934,14047,7/19/20,19
1598,East Amherst,20690,16.19,43.0442,-78.695,14051,7/19/20,103
1599,East Aurora,17482,62.71,42.775,-78.5753,14052,7/19/20,252
1600,East Concord,1312,29.7,42.5468,-78.5954,14055,7/19/20,1
1601,Eden,7934,48.1,42.652283,-78.89698,14057,7/19/20,34
1602,Elma,9381,26.72,42.8255,-78.62666,14059,7/19/20,47
1603,Getzville,8374,3.8,43.0269,-78.762,14068,7/19/20,188
1604,Glenwood,678,5.42,42.6057,-78.6191,14069,7/19/20,3
1605,Gowanda,7706,44.41,42.44377,-78.90769,14070,7/19/20,14
1606,Grand Island,20809,33.26,43.0119,-78.9559,14072,7/19/20,117
1607,Hamburg,43111,38.97,42.716,-78.82434,14075,7/19/20,256
1608,Holland,4460,50.61,42.6405,-78.5435,14080,7/19/20,20
1609,Irving,3204,40.63,42.4617,-79.027,14081,7/19/20,7
1610,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,7/19/20,31
1611,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,7/19/20,215
1612,Lawtons,1086,22.21,42.5386,-78.9061,14091,7/19/20,3
1613,Marilla,1244,4.86,42.8368,-78.5573,14102,7/19/20,9
1614,North Collins,3482,32.93,42.581,-78.8707,14111,7/19/20,14
1615,Orchard Park,30810,40.39,42.7429,-78.7569,14127,7/19/20,219
1616,Sardinia,139,2.42,42.5276,-78.5045,14134,7/19/20,1
1617,South Wales,2371,23.28,42.69757,-78.5433,14139,7/19/20,4
1618,Springville,7799,73.22,42.5329,-78.7157,14141,7/19/20,45
1619,Strykersville,1405,26.97,42.7296,-78.41938,14145,7/19/20,0
1620,Tonawanda,40850,17.07,42.99298,-78.8812,14150,7/19/20,261
1621,West Falls,2270,13.31,42.7087,-78.6647,14170,7/19/20,6
1622,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,7/19/20,220
1623,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,7/19/20,19
1624,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,7/19/20,24
1625,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,7/19/20,106
1626,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,7/19/20,142
1627,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,7/19/20,444
1628,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,7/19/20,218
1629,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,7/19/20,216
1630,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,7/19/20,96
1631,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,7/19/20,290
1632,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,7/19/20,144
1633,West Side,26700,2.82,42.9166,-78.8919,14213,7/19/20,389
1634,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,7/19/20,162
1635,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,7/19/20,647
1636,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,7/19/20,153
1637,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,7/19/20,200
1638,Lackawana,18590,8.07,42.8155,-78.8112,14218,7/19/20,126
1639,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,7/19/20,63
1640,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,7/19/20,146
1641,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,7/19/20,488
1642,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,7/19/20,65
1643,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/19/20,126
1644,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/19/20,242
1645,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/19/20,254
1646,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/19/20,183
1647,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/19/20,256
1648,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/19/20,126
1649,UB North Campus (Amherst),1670,0.97,,,14260,7/19/20,0
1650,Akron,9549,59.61,43.0414,-78.4963,14001,7/20/20,39
1651,Alden,12851,46.68,42.894668,-78.4833,14004,7/20/20,70
1652,Angola,10113,28.86,42.6361,-79.02794,14006,7/20/20,30
1653,Basom,1923,41.17,43.0811,-78.4012,14013,7/20/20,0
1654,Boston,3060,23.54,42.6214,-78.7217,14025,7/20/20,11
1655,Bowmansville,910,0.79,42.9441,-78.6867,14026,7/20/20,4
1656,Chaffee,1867,20.9,42.5737,-78.507,14030,7/20/20,2
1657,Clarence,10145,20.83,42.993,-78.607,14031,7/20/20,84
1658,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,7/20/20,47
1659,Colden,2396,19.96,42.6521,-78.6869,14033,7/20/20,3
1660,Collins,1922,26.0,42.49089,-78.8573,14034,7/20/20,1
1661,Cowlesville,1081,17.91,42.8054,-78.4507,14037,7/20/20,1
1662,Depew,25714,9.15,42.89925,-78.70735,14043,7/20/20,112
1663,Derby,6463,12.32,42.69266,-78.9934,14047,7/20/20,19
1664,East Amherst,20690,16.19,43.0442,-78.695,14051,7/20/20,107
1665,East Aurora,17482,62.71,42.775,-78.5753,14052,7/20/20,252
1666,East Concord,1312,29.7,42.5468,-78.5954,14055,7/20/20,1
1667,Eden,7934,48.1,42.652283,-78.89698,14057,7/20/20,34
1668,Elma,9381,26.72,42.8255,-78.62666,14059,7/20/20,47
1669,Getzville,8374,3.8,43.0269,-78.762,14068,7/20/20,190
1670,Glenwood,678,5.42,42.6057,-78.6191,14069,7/20/20,3
1671,Gowanda,7706,44.41,42.44377,-78.90769,14070,7/20/20,14
1672,Grand Island,20809,33.26,43.0119,-78.9559,14072,7/20/20,119
1673,Hamburg,43111,38.97,42.716,-78.82434,14075,7/20/20,256
1674,Holland,4460,50.61,42.6405,-78.5435,14080,7/20/20,22
1675,Irving,3204,40.63,42.4617,-79.027,14081,7/20/20,7
1676,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,7/20/20,33
1677,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,7/20/20,218
1678,Lawtons,1086,22.21,42.5386,-78.9061,14091,7/20/20,3
1679,Marilla,1244,4.86,42.8368,-78.5573,14102,7/20/20,9
1680,North Collins,3482,32.93,42.581,-78.8707,14111,7/20/20,14
1681,Orchard Park,30810,40.39,42.7429,-78.7569,14127,7/20/20,223
1682,Sardinia,139,2.42,42.5276,-78.5045,14134,7/20/20,1
1683,South Wales,2371,23.28,42.69757,-78.5433,14139,7/20/20,4
1684,Springville,7799,73.22,42.5329,-78.7157,14141,7/20/20,45
1685,Strykersville,1405,26.97,42.7296,-78.41938,14145,7/20/20,0
1686,Tonawanda,40850,17.07,42.99298,-78.8812,14150,7/20/20,262
1687,West Falls,2270,13.31,42.7087,-78.6647,14170,7/20/20,6
1688,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,7/20/20,228
1689,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,7/20/20,20
1690,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,7/20/20,24
1691,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,7/20/20,108
1692,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,7/20/20,143
1693,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,7/20/20,452
1694,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,7/20/20,219
1695,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,7/20/20,218
1696,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,7/20/20,97
1697,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,7/20/20,293
1698,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,7/20/20,145
1699,West Side,26700,2.82,42.9166,-78.8919,14213,7/20/20,400
1700,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,7/20/20,165
1701,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,7/20/20,654
1702,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,7/20/20,157
1703,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,7/20/20,203
1704,Lackawana,18590,8.07,42.8155,-78.8112,14218,7/20/20,126
1705,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,7/20/20,65
1706,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,7/20/20,147
1707,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,7/20/20,492
1708,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,7/20/20,68
1709,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,7/20/20,131
1710,West Seneca,41070,20.19,42.83744,-78.7429,14224,7/20/20,245
1711,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,7/20/20,255
1712,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,7/20/20,185
1713,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,7/20/20,258
1714,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,7/20/20,128
1715,UB North Campus (Amherst),1670,0.97,,,14260,7/20/20,0
1716,Akron,9549,59.61,43.0414,-78.4963,14001,7/23/20,39
1717,Alden,12851,46.68,42.894668,-78.4833,14004,7/23/20,70
